midi_filename,composer,duration,average_tempo,key_signature,mode,chord_progression
2018/MIDI-Unprocessed_Chamber3_MID--AUDIO_10_R3_2018_wav--1.midi,Alban Berg,698.661160312,0.0,B,minor,"['G', 'Perfect Fourth above G', 'C', 'G-minor-second quartal tetrachord', 'Perfect Fifth above B', 'B', 'B', 'Minor Sixth above B', 'G', 'C-incomplete dominant-seventh chord', 'C-minor seventh chord', 'E-', 'Eb-augmented seventh chord', 'Eb-augmented seventh chord', 'Eb-augmented seventh chord', 'B']"
2008/MIDI-Unprocessed_03_R2_2008_01-03_ORIG_MID--AUDIO_03_R2_2008_wav--2.midi,Alban Berg,759.51847125,0.0,E,minor,"['G', 'Perfect Fourth above G', 'C', 'B-tritone-fourth', 'G-double pentacluster', 'G-minor-second quartal tetrachord', 'Diminished Fifth with octave doublings above C#', 'C-incomplete dominant-seventh chord', 'C-minor seventh chord', 'Minor Seventh above C', 'Eb-augmented seventh chord', 'A-incomplete half-diminished seventh chord', 'Eb-augmented seventh chord', 'B', 'E-augmented-sixth pentachord', 'E-French augmented sixth chord']"
2017/MIDI-Unprocessed_066_PIANO066_MID--AUDIO-split_07-07-17_Piano-e_3-02_wav--3.midi,Alban Berg,464.649432608,0.0,E,minor,"['G', 'Perfect Fourth above G', 'C', 'B-perfect fourth tetramirror', 'G-double pentacluster', 'G-minor-second quartal tetrachord', 'G-minor-second quartal tetrachord', 'G-minor-second quartal tetrachord', 'Diminished Fifth with octave doublings above C#', 'Diminished Twelfth above C#', 'C#', 'Diminished Fifth with octave doublings above C#', 'C-perfect-fourth diminished tetrachord', 'C-incomplete dominant-seventh chord', 'C-minor seventh chord', 'Minor Tenth above C']"
2004/MIDI-Unprocessed_XP_21_R1_2004_01_ORIG_MID--AUDIO_21_R1_2004_01_Track01_wav.midi,Alexander Scriabin,872.640588096,0.0,B-,minor,"['Perfect Octave above Bb', 'Augmented Fifth with octave doublings above Bb', 'Bb-incomplete half-diminished seventh chord', 'Bb-incomplete half-diminished seventh chord', 'Bb-all-interval tetrachord', 'enharmonic equivalent to major triad above C#', 'enharmonic equivalent to major seventh chord above C#', 'F-incomplete major-seventh chord', 'enharmonic equivalent to major seventh chord above C#', 'Bb-incomplete major-seventh chord', 'Diminished Fourth with octave doublings above F#', 'Diminished Eleventh above F#', 'enharmonic equivalent to minor triad above Eb', 'Perfect Twelfth above Eb', 'C#-incomplete dominant-seventh chord', 'C#-quartal tetramirror']"
2006/MIDI-Unprocessed_17_R1_2006_01-06_ORIG_MID--AUDIO_17_R1_2006_04_Track04_wav.midi,Alexander Scriabin,397.857508125,0.0,D,minor,"['E-French augmented sixth chord in root position', 'A', 'Diminished Tenth above G#', 'F-whole-tone pentachord', 'C-harmonic minor tetrachord', 'C-incomplete half-diminished seventh chord', 'Major Ninth above C', 'C#-minor trichord', 'B-diminished triad', 'B-major-minor diminished pentachord', 'F-minor trichord', 'C#-diminished triad', 'Major Ninth above F', 'E-phrygian trichord', 'E-whole-tone trichord', 'E-whole-tone tetramirror']"
2009/MIDI-Unprocessed_07_R1_2009_04-05_ORIG_MID--AUDIO_07_R1_2009_07_R1_2009_04_WAV.midi,Alexander Scriabin,400.557825938,0.0,F#,minor,"['Major Sixth above E', 'E', 'Minor Seventh above E', 'Major Sixth above E', 'Perfect Fifth above E', 'Major Sixth above E', 'C#-phrygian trichord', 'C#-phrygian trichord', 'Major Second with octave doublings above D', 'Major Second above D', 'E', 'Major Second above E', 'F#-incomplete dominant-seventh chord', 'F#-incomplete minor-seventh chord', 'Perfect Fourth above E', 'E']"
2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_07_WAV.midi,Alexander Scriabin,163.745829844,0.0,C#,minor,"['A-tritone-fourth', 'F#-all-interval tetrachord', 'A-tritone-fourth', 'A-all-interval tetrachord', 'A-all-interval tetrachord', 'A-all-interval tetrachord', 'A-all-interval tetrachord', 'A-all-interval tetrachord', 'A-tritone-fourth', 'F#-Neapolitan pentachord', 'enharmonic to dominant seventh chord above Bb', 'E-incomplete dominant-seventh chord', 'E-incomplete dominant-seventh chord', 'Augmented Fourth above Bb', 'B-', 'Perfect Octave above F#']"
2013/ORIG-MIDI_03_7_8_13_Group__MID--AUDIO_19_R2_2013_wav--3.midi,Alexander Scriabin,563.904350625,0.0,E-,minor,"['C#-minor seventh chord', 'B', 'A-quartal trichord', 'Perfect Fourth above E', 'Perfect Octave above G#', 'enharmonic equivalent to minor triad above B', 'A', 'Eb-all-interval tetrachord', 'Perfect Octave above F#', 'E-major triad', 'Perfect Fourth with octave doublings above B', 'G#', 'Minor Sixth with octave doublings above G#', 'G#', 'Eb-tritone quartal tetrachord', 'Eb-incomplete major-seventh chord']"
2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_04_WAV.midi,Alexander Scriabin,136.315301719,0.0,F#,major,"['enharmonic equivalent to major triad above F', 'F-augmented major tetrachord', 'enharmonic equivalent to minor seventh chord above Bb', 'C#-incomplete minor-seventh chord', 'Perfect Fifth with octave doublings above C#', 'C#-incomplete minor-seventh chord', 'F#-quartal trichord', 'Major Second with octave doublings above F#', 'F#-quartal trichord', 'Major Second with octave doublings above F#', 'Perfect Octave above F#', 'Augmented Fifth with octave doublings above Bb', 'Bb-incomplete half-diminished seventh chord', 'Major Ninth above Bb', 'C', 'Diminished Double-octave above C#']"
2009/MIDI-Unprocessed_02_R1_2009_03-06_ORIG_MID--AUDIO_02_R1_2009_02_R1_2009_05_WAV.midi,Alexander Scriabin,167.085837188,0.0,C#,minor,"['A-major seventh chord', 'A-incomplete major-seventh chord', 'A-major seventh chord', 'Minor Tenth above C#', 'C#', 'Minor Seventh above A', 'A-dominant seventh chord', 'A-dominant seventh chord', 'A-incomplete dominant-seventh chord', 'A-dominant seventh chord', 'E', 'C#-diminished triad', 'Perfect Fifth above A', 'Minor Third with octave doublings above C#', 'enharmonic to dominant seventh chord above E', 'Perfect Fourth above C#']"
2011/MIDI-Unprocessed_15_R1_2011_MID--AUDIO_R1-D6_09_Track09_wav.midi,Alexander Scriabin,102.007109531,0.0,C#,major,"['C-augmented triad', 'Diminished Fourth with octave doublings above C#', 'B-minor triad', 'C#-Italian augmented sixth chord in root position', 'Minor Sixth with octave doublings above G#', 'Diminished Fourth with octave doublings above C#', 'Major Third above F', 'F-major-augmented ninth chord', 'enharmonic equivalent to major triad above C#', 'C#-incomplete half-diminished seventh chord', 'F#-incomplete dominant-seventh chord', 'F#-minor triad', 'Augmented Fifth above Bb', 'Eb-augmented triad', 'Diminished Fourth with octave doublings above G#', 'F#-Roma (Gypsy) pentachord']"
2006/MIDI-Unprocessed_19_R1_2006_01-07_ORIG_MID--AUDIO_19_R1_2006_04_Track04_wav.midi,Alexander Scriabin,550.997045156,0.0,F#,major,"['Perfect Fifth with octave doublings above B', 'Bb-augmented triad', 'Bb-augmented triad', 'Bb-augmented triad', 'D', 'Bb-augmented triad', 'B-minor triad', 'Minor Seventh with octave doublings above C#', 'G-incomplete dominant-seventh chord', 'Major Tenth above G', 'Perfect Fourth with octave doublings above B', 'Perfect Fourth with octave doublings above F#', 'Perfect Octave above D', 'Minor Third with octave doublings above E', 'B-minor trichord', 'E-incomplete dominant-seventh chord']"
2013/ORIG-MIDI_02_7_10_13_Group_MID--AUDIO_11_R3_2013_wav--3.midi,Alexander Scriabin,512.164284844,0.0,B,minor,"['Perfect Octave above F#', 'G', 'Perfect Octave above G', 'G', 'Perfect Octave above F#', 'Perfect Octave above F#', 'enharmonic equivalent to major triad above F#', 'enharmonic equivalent to major triad above Bb', 'enharmonic equivalent to major triad above F#', 'enharmonic equivalent to major triad above F#', 'enharmonic to dominant seventh chord above E', 'enharmonic equivalent to major triad above F#', 'enharmonic to dominant seventh chord above E', 'enharmonic to dominant seventh chord above E', 'enharmonic to dominant seventh chord above E', 'Minor Seventh with octave doublings above F#']"
2011/MIDI-Unprocessed_09_R1_2011_MID--AUDIO_R1-D3_15_Track15_wav.midi,Alexander Scriabin,476.806414219,0.0,B,minor,"['Perfect Octave above F#', 'F#', 'F#', 'Major Seventh with octave doublings above G', 'Perfect Octave above G', 'Perfect Octave above G', 'G', 'Perfect Octave above F#', 'Perfect Octave above F#', 'F#', 'enharmonic equivalent to major triad above F#', 'enharmonic equivalent to major triad above Bb', 'enharmonic equivalent to major triad above F#', 'enharmonic to dominant seventh chord above E', 'enharmonic equivalent to major triad above F#', 'enharmonic equivalent to major triad above F#']"
2014/MIDI-UNPROCESSED_14-15_R1_2014_MID--AUDIO_15_R1_2014_wav--5.midi,Alexander Scriabin,486.857152031,0.0,B,minor,"['Perfect Octave above F#', 'F#', 'F#', 'Minor Second above F#', 'Major Seventh with octave doublings above G', 'Perfect Octave above G', 'G', 'Perfect Octave above F#', 'Perfect Octave above F#', 'enharmonic equivalent to major triad above F#', 'enharmonic equivalent to major triad above F#', 'enharmonic to dominant seventh chord above E', 'enharmonic equivalent to major triad above F#', 'enharmonic to dominant seventh chord above E', 'enharmonic to dominant seventh chord above E', 'enharmonic to dominant seventh chord above E']"
2009/MIDI-Unprocessed_11_R1_2009_06-09_ORIG_MID--AUDIO_11_R1_2009_11_R1_2009_06_WAV.midi,Alexander Scriabin,138.421335938,0.0,E-,major,"['G#', 'Augmented Third above Eb', 'enharmonic equivalent to major triad above Eb', 'enharmonic equivalent to major triad above G#', 'Augmented Fifth above C', 'G#', 'Major Tenth above E', 'Diminished Fourth with octave doublings above G#', 'Augmented Fifth above C', 'Diminished Sixth above G#', 'C', 'D', 'G#-tritone-fourth', 'D', 'G#', 'C-quartal trichord']"
2008/MIDI-Unprocessed_01_R1_2008_01-04_ORIG_MID--AUDIO_01_R1_2008_wav--3.midi,Alexander Scriabin,463.605305625,0.0,C#,major,"['A', 'Minor Sixth above C#', 'C#', 'Minor Sixth above C#', 'A-major triad', 'A-major triad', 'A', 'A-major triad', 'A', 'A-major triad', 'A-major triad', 'C#-minor triad', 'G#', 'C#-incomplete minor-seventh chord', 'A', 'A-diminished triad']"
2006/MIDI-Unprocessed_12_R1_2006_01-08_ORIG_MID--AUDIO_12_R1_2006_02_Track02_wav.midi,Alexander Scriabin,613.737367031,0.0,C#,minor,"['Diminished Sixth with octave doublings above G#', 'Diminished Sixth above G#', 'Augmented Third with octave doublings above Eb', 'Perfect Octave above Eb', 'multiple octaves above Eb', 'enharmonic equivalent to half-diminished seventh chord above B', 'Major Second above Eb', 'Eb-incomplete minor-seventh chord', 'Major Second above Eb', 'Eb-incomplete minor-seventh chord', 'Eb-incomplete minor-seventh chord', 'Major Second above Eb', 'C#-German augmented sixth chord in third inversion', 'Augmented Sixth with octave doublings above Eb', 'Diminished Third above C#', 'multiple octaves above Eb']"
2018/MIDI-Unprocessed_Recital1-3_MID--AUDIO_01_R1_2018_wav--4.midi,Alexander Scriabin,701.147803125,0.0,C#,minor,"['Diminished Sixth with octave doublings above G#', 'Diminished Sixth with octave doublings above G#', 'Diminished Sixth with octave doublings above G#', 'Diminished Sixth above G#', 'E-', 'multiple octaves above Eb', 'Diminished Seventh with octave doublings above G#', 'enharmonic equivalent to half-diminished seventh chord above Eb', 'enharmonic equivalent to half-diminished seventh chord above B', 'Eb-incomplete half-diminished seventh chord', 'enharmonic equivalent to half-diminished seventh chord above B', 'enharmonic equivalent to minor triad above B', 'Diminished Fourth with octave doublings above B', 'Diminished Fourth with octave doublings above B', 'Diminished Fourth with octave doublings above B', 'enharmonic equivalent to minor triad above B']"
2018/MIDI-Unprocessed_Recital17-19_MID--AUDIO_18_R1_2018_wav--2.midi,Alexander Scriabin,685.005992344,0.0,E,major,"['Diminished Sixth with octave doublings above G#', 'Augmented Third with octave doublings above Eb', 'multiple octaves above Eb', 'E-', 'multiple octaves above Eb', 'Major Sixth with octave doublings above B', 'enharmonic equivalent to half-diminished seventh chord above B', 'Eb-incomplete half-diminished seventh chord', 'enharmonic equivalent to half-diminished seventh chord above B', 'Eb-incomplete half-diminished seventh chord', 'Eb-incomplete half-diminished seventh chord', 'enharmonic equivalent to half-diminished seventh chord above B', 'Eb-incomplete minor-seventh chord', 'Eb-incomplete minor-seventh chord', 'Eb-incomplete minor-seventh chord', 'Eb-incomplete minor-seventh chord']"
2017/MIDI-Unprocessed_079_PIANO079_MID--AUDIO-split_07-09-17_Piano-e_1-04_wav--4.midi,Alexander Scriabin,661.909149792,0.0,C#,minor,"['Diminished Sixth with octave doublings above G#', 'Diminished Sixth with octave doublings above G#', 'E-', 'multiple octaves above Eb', 'Perfect Octave above Eb', 'multiple octaves above Eb', 'Diminished Fifth with octave doublings above B', 'enharmonic equivalent to diminished triad above B', 'enharmonic equivalent to half-diminished seventh chord above B', 'Eb-incomplete half-diminished seventh chord', 'enharmonic equivalent to half-diminished seventh chord above B', 'Eb-incomplete half-diminished seventh chord', 'Eb-incomplete half-diminished seventh chord', 'enharmonic equivalent to half-diminished seventh chord above B', 'enharmonic equivalent to minor triad above B', 'C#-German augmented sixth chord in third inversion']"
2018/MIDI-Unprocessed_Recital5-7_MID--AUDIO_07_R1_2018_wav--2.midi,Alexander Scriabin,1120.09102734,0.0,F#,major,"['Perfect Octave above C#', 'Perfect Octave above F#', 'F#-minor triad', 'F#-minor triad', 'F#-perfect-fourth minor tetrachord', 'B-quartal trichord', 'B-quartal trichord', 'B-quartal trichord', 'F#-perfect-fourth minor tetrachord', 'B-quartal trichord', 'Perfect Fourth above C#', 'F#-minor triad', 'Perfect Fourth above C#', 'Perfect Octave above C#', 'Perfect Octave above F#', 'Minor Sixth above C#']"
2018/MIDI-Unprocessed_Recital9-11_MID--AUDIO_11_R1_2018_wav--2.midi,Alexander Scriabin,1195.01082422,0.0,F#,major,"['Perfect Octave above C#', 'Perfect Octave above F#', 'F#-minor triad', 'B-quartal trichord', 'B-quartal trichord', 'F#-perfect-fourth minor tetrachord', 'F#-minor triad', 'F#-minor triad', 'Perfect Twelfth above F#', 'C#', 'multiple octaves above C#', 'Perfect Octave above F#', 'C#', 'A', 'Perfect Fifth above A', 'F#-lydian tetrachord']"
2018/MIDI-Unprocessed_Chamber6_MID--AUDIO_20_R3_2018_wav--2.midi,Alexander Scriabin,1117.95828375,0.0,F#,major,"['Perfect Octave above C#', 'Perfect Octave above F#', 'F#-minor triad', 'B-quartal trichord', 'F#-perfect-fourth minor tetrachord', 'A-whole-tone trichord', 'Major Second with octave doublings above B', 'Minor Seventh with octave doublings above C#', 'Minor Seventh with octave doublings above C#', 'B-quartal trichord', 'Perfect Octave above F#', 'Minor Sixth above C#', 'F#-major-second minor tetrachord', 'F#-minor-ninth chord', 'A-major triad', 'A-major triad']"
